,BFS_NUMMER,EINWOHNERZ,centroid
122,2299,1978,3.9928546285093094 30.535837175128073
123,957,5034,4.055843382632454 30.528373098764796
124,3808,139,3.946310680569817 30.54142420442017
125,1206,3786,3.98055738315836 30.545200640083365
126,5281,6185,3.961518369532481 30.5459335575045
127,842,812,3.9738967530436415 30.537901213051985
128,6295,1235,3.9949029270814562 30.541115077322893
129,6177,446,3.9484268532394693 30.551752464056477
130,6033,752,3.948247687934652 30.464203097125232
131,3105,2167,6.8381615010986225 31.458232276948742
132,853,1627,4.127482250691107 30.391557743535444
133,5112,1293,4.0544659773614296 30.53479468460616
134,3791,-32768,3.9684221497191317 30.468821997894565
135,1002,3325,4.018541792934628 30.51028765469141
136,3752,776,4.045973344558805 31.08888165915821
137,938,4671,4.045940656671749 30.55733710127818
138,9051,-32768,3.894876559209702 30.565249933896457
139,3295,-32768,3.980589340594744 30.520812244374667
140,6421,39027,4.102630885129247 30.546174881716606
141,2138,664,3.969665385102224 30.50286784190775
142,6082,3852,3.9666532614956784 30.557986457578544
143,852,1562,3.9775474055528512 30.50758365676548
144,6110,3842,3.9966459495113096 30.546474129818375
145,3342,9026,3.850367776952298 30.547550786156236
146,6287,441,3.975243553482041 30.481667631368232
147,3273,6901,3.9150057345257605 30.51065954139406
148,1406,5044,4.036883943815565 30.600262435093033
149,1401,5834,4.001659070271753 30.543837312322243
150,6218,1314,1.4490547211768763 30.286782901769495
151,1372,14880,5.503035681315333 30.215679712169475
152,1205,3980,3.943580432451424 30.54620316557168
153,5398,5060,4.4042884939984726 30.57429168669753
154,3987,1205,3.962942251277376 30.497330288123074
155,351,130015,3.737004065395141 30.514027284450606
156,6298,1377,3.932341123528549 30.57998573863962
157,5702,2493,3.9157790559934194 30.601466874489663
158,5397,1162,6.732958541724712 30.040764566650786
159,355,39998,3.9610176474989474 30.546247244342265
160,579,660,4.0830906789923835 30.572122656900202
161,3821,762,4.180057710423065 30.571677799987132
162,3379,8536,4.008899969007612 30.541295542052495
163,3981,1278,3.9940554497380356 30.507977449459382
164,3732,2644,3.806571236015363 30.69143470905917
165,3786,3014,3.7701289245334006 30.669582164041632
166,3394,2827,4.032947802893813 30.53701450942706
167,6112,127,3.9767661536745096 30.53880724927038
168,1343,190,3.9879692799279107 30.53861021738086
169,3972,1385,3.9319953515992996 30.52907868174895
170,3378,4000,4.0018954504204345 30.53837599297777
171,9328,-32768,3.9471681149600397 30.542361530869588
172,3911,2067,3.2003119784159617 30.591959361586845
173,6074,464,3.988291939763056 30.692272575967003
174,573,3073,3.9440421328888866 30.622492754249954
175,5095,190,3.993141640144324 30.52714440589291
176,902,9107,4.945527571468329 30.992257526746467
177,5843,889,3.9519420768219016 30.353464866310183
178,3691,65,4.0038036174174545 30.53996940382347
179,6213,1235,4.001811083832119 30.55470994742226
180,3006,2230,3.977468373000909 30.538037988149842
181,2325,6363,3.946235641915168 30.574542871685715
182,6008,2012,4.021826988043682 30.519358834954947
183,3734,1276,3.929821596451159 30.515223124377986
184,1375,2320,3.9687397793358525 30.586931243367815
185,1405,2113,3.9461737668634207 30.545359567942935
186,1203,1606,3.9874920607046755 30.5599843825471
187,3823,353,3.9541921018855866 30.37203404912878
